day,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2004-06-11,,,,,,,,383.800000,383.100000,383.100000,383.600000,383.600000,383.300000,384.000000,383.800000,384.600000,384.300000,383.800000,384.100000,,,,,
2004-06-14,,383.600000,383.000000,382.600000,383.000000,383.000000,382.800000,382.600000,382.300000,382.300000,382.300000,382.500000,382.600000,383.100000,384.300000,384.600000,384.100000,382.800000,383.100000,383.300000,382.800000,382.800000,382.600000,382.800000
2004-06-15,,382.800000,383.300000,382.500000,382.600000,382.100000,382.100000,382.800000,382.000000,382.300000,381.800000,382.000000,381.800000,382.600000,383.800000,385.300000,385.100000,388.300000,387.600000,387.100000,388.300000,387.100000,387.300000,388.600000
2004-06-16,,387.100000,389.100000,388.500000,388.300000,388.800000,388.600000,388.600000,388.300000,387.800000,387.100000,387.300000,386.000000,385.100000,385.600000,384.600000,383.600000,384.300000,383.800000,383.800000,383.800000,383.800000,383.600000,383.800000
2004-06-17,,384.600000,383.800000,383.100000,383.300000,383.300000,383.300000,384.300000,384.100000,385.100000,384.600000,385.300000,386.300000,386.600000,386.800000,386.600000,386.100000,386.800000,387.300000,388.300000,388.300000,388.300000,388.300000,387.600000
2004-06-18,,388.300000,387.600000,387.600000,387.300000,387.100000,386.300000,386.300000,386.300000,386.800000,387.800000,388.800000,392.100000,391.800000,393.300000,395.100000,395.100000,394.600000,395.500000,394.600000,394.600000,394.600000,394.300000,
2004-06-21,,394.600000,393.500000,394.100000,393.300000,393.800000,393.600000,393.600000,393.600000,392.300000,392.800000,393.600000,393.800000,396.000000,395.000000,395.000000,393.500000,394.600000,393.100000,393.100000,393.100000,393.300000,393.100000,393.100000
2004-06-22,,393.100000,394.300000,393.300000,394.100000,393.600000,393.600000,393.000000,392.600000,393.000000,394.000000,393.600000,393.600000,394.000000,393.600000,395.300000,395.300000,394.800000,395.300000,394.100000,394.000000,394.100000,394.300000,394.100000
2004-06-23,,394.000000,393.800000,394.600000,394.800000,394.600000,394.600000,395.300000,396.300000,395.100000,395.100000,394.000000,394.100000,394.300000,394.800000,394.300000,393.500000,393.600000,394.300000,394.100000,394.100000,394.000000,395.300000,395.600000
2004-06-24,,394.100000,393.600000,393.600000,393.600000,393.600000,393.600000,393.800000,394.300000,395.000000,396.600000,396.600000,395.800000,397.800000,400.300000,400.100000,399.800000,400.800000,401.300000,402.100000,402.000000,401.800000,402.300000,401.100000
2004-06-25,,402.000000,401.300000,401.500000,401.300000,400.800000,401.000000,401.600000,401.100000,401.100000,401.300000,400.600000,400.800000,401.600000,401.500000,400.600000,401.300000,401.500000,401.600000,401.800000,401.800000,401.800000,401.100000,
2004-06-28,,402.300000,401.600000,401.800000,401.800000,402.000000,401.600000,401.000000,400.800000,401.500000,402.100000,401.500000,403.300000,402.100000,403.600000,403.500000,401.300000,400.600000,399.600000,399.800000,399.800000,399.800000,399.800000,399.800000
2004-06-29,,399.800000,399.300000,399.500000,399.300000,399.300000,399.300000,399.300000,398.600000,397.300000,397.300000,395.300000,395.800000,397.000000,397.100000,396.300000,394.600000,392.100000,391.500000,391.800000,391.600000,391.300000,392.100000,391.300000
2004-06-30,,391.300000,392.100000,392.100000,391.800000,391.500000,392.000000,392.600000,391.300000,392.300000,393.100000,393.100000,394.100000,394.100000,393.300000,395.500000,394.300000,394.300000,393.300000,391.600000,393.300000,391.600000,391.600000,393.300000
2004-07-01,,391.600000,394.300000,394.300000,393.800000,393.600000,394.300000,394.100000,393.800000,393.300000,393.100000,394.600000,395.000000,394.500000,394.100000,395.100000,393.800000,393.600000,395.000000,395.600000,395.100000,395.300000,395.000000,395.000000
2004-07-02,,395.000000,394.800000,394.800000,394.600000,394.800000,394.600000,394.500000,394.100000,394.600000,394.300000,393.800000,394.100000,392.800000,397.800000,398.300000,397.800000,397.800000,397.100000,397.800000,,,,
2004-07-06,,,,,,,,,398.100000,398.300000,398.100000,397.800000,398.100000,398.600000,398.300000,397.300000,390.600000,392.300000,391.800000,391.800000,392.300000,391.800000,392.600000,392.100000
2004-07-07,,,,,,,394.600000,395.100000,395.100000,395.500000,396.100000,397.300000,398.100000,397.100000,397.800000,399.600000,401.300000,402.300000,402.000000,401.800000,401.600000,401.800000,401.800000,401.800000
2004-07-08,,401.300000,400.600000,400.100000,399.800000,399.600000,399.300000,400.300000,400.300000,400.800000,401.600000,402.600000,403.800000,403.100000,404.300000,404.800000,405.800000,406.300000,408.000000,407.300000,407.300000,406.800000,407.300000,407.300000
2004-07-09,,407.300000,,,405.800000,405.300000,405.600000,405.600000,406.000000,405.000000,405.300000,406.100000,407.300000,407.100000,406.600000,406.300000,406.500000,407.000000,407.300000,407.100000,406.800000,407.100000,,
2004-07-12,,407.300000,406.800000,407.300000,407.100000,406.800000,406.800000,407.100000,407.800000,407.300000,407.800000,407.800000,407.100000,406.000000,406.600000,405.800000,406.100000,406.300000,406.100000,407.300000,407.300000,406.800000,406.800000,406.600000
2004-07-13,,407.100000,405.600000,405.000000,404.300000,403.300000,403.800000,403.300000,403.800000,404.300000,404.300000,403.800000,402.500000,403.100000,401.800000,400.100000,401.300000,400.100000,400.800000,401.300000,400.800000,401.000000,401.100000,403.100000
2004-07-14,,401.000000,402.000000,402.600000,402.600000,403.100000,402.100000,402.500000,402.800000,403.600000,403.600000,402.800000,402.600000,403.100000,405.100000,403.600000,403.100000,403.600000,404.100000,404.300000,404.600000,404.800000,404.800000,404.800000
2004-07-15,,404.300000,403.300000,403.600000,403.500000,403.100000,402.600000,403.100000,402.100000,402.100000,402.600000,403.300000,403.000000,403.300000,404.300000,402.800000,404.600000,404.300000,403.800000,403.000000,403.100000,403.100000,403.100000,403.100000
2004-07-16,,403.000000,402.000000,402.800000,402.800000,403.600000,403.100000,403.800000,403.300000,403.300000,404.100000,403.300000,403.100000,403.600000,404.800000,406.800000,406.500000,406.600000,406.600000,405.800000,405.800000,406.100000,406.100000,
2004-07-19,,405.600000,406.600000,406.300000,406.800000,406.300000,406.500000,406.600000,407.300000,407.100000,406.300000,406.300000,406.300000,406.300000,404.300000,405.800000,404.800000,404.800000,405.100000,404.800000,405.300000,405.300000,405.100000,404.800000
2004-07-20,,405.100000,405.600000,405.100000,405.100000,405.100000,405.300000,405.500000,406.000000,405.800000,405.600000,404.800000,404.800000,403.800000,401.800000,399.800000,399.600000,400.000000,399.500000,400.800000,400.800000,399.600000,400.800000,400.800000
2004-07-21,,400.300000,401.300000,400.600000,400.600000,400.100000,400.300000,400.600000,400.300000,400.800000,400.800000,399.800000,398.300000,398.600000,397.600000,398.800000,395.100000,394.800000,395.500000,396.600000,396.300000,396.100000,396.300000,396.100000
2004-07-22,,396.100000,395.800000,395.800000,396.100000,396.800000,396.300000,396.100000,396.300000,395.100000,394.100000,395.300000,394.800000,396.300000,397.100000,396.800000,397.100000,397.000000,395.000000,394.100000,394.100000,394.100000,394.600000,393.300000
2004-07-23,,394.100000,394.300000,394.000000,393.600000,393.800000,394.100000,394.100000,393.300000,393.300000,393.100000,392.800000,391.800000,392.100000,390.300000,391.100000,388.100000,388.300000,389.300000,389.300000,389.800000,389.800000,389.300000,
2004-07-26,,389.300000,390.300000,390.800000,391.300000,391.800000,391.300000,391.100000,390.800000,391.800000,391.100000,391.300000,391.300000,391.000000,391.000000,390.300000,389.600000,389.100000,389.100000,388.800000,389.600000,389.600000,390.000000,389.800000
2004-07-27,,388.300000,390.300000,390.300000,390.600000,390.600000,391.100000,390.800000,390.600000,390.600000,392.600000,391.800000,391.800000,391.300000,391.100000,390.100000,387.100000,386.500000,387.000000,386.100000,387.300000,386.100000,386.100000,386.600000
2004-07-28,,386.100000,387.300000,387.300000,387.500000,387.600000,387.600000,387.300000,387.300000,388.100000,386.500000,385.300000,386.600000,386.600000,386.600000,385.300000,387.100000,387.300000,388.500000,388.100000,388.100000,388.100000,388.100000,387.300000
2004-07-29,,388.000000,389.100000,388.300000,389.100000,388.600000,388.800000,389.300000,390.000000,390.300000,389.000000,387.300000,387.800000,388.100000,387.300000,386.300000,389.100000,389.100000,387.100000,386.500000,386.300000,387.100000,386.500000,387.100000
2004-07-30,,386.500000,387.100000,387.100000,387.600000,387.800000,387.800000,387.800000,388.100000,388.800000,388.800000,388.800000,389.600000,388.600000,390.100000,391.000000,389.600000,390.100000,389.300000,390.300000,390.500000,390.300000,390.500000,
2004-08-02,,390.500000,392.100000,392.100000,392.300000,392.600000,392.300000,392.300000,391.800000,392.300000,393.300000,392.800000,392.600000,392.300000,391.600000,390.800000,390.600000,391.000000,391.100000,391.100000,391.300000,391.100000,391.100000,391.100000
